ticker;preco;dy;pl;pvp;roe;roa;roic;margem_bruta;margem_ebit;margem_liquida;liquidez_corrente;vpa;lpa;liquidez_diaria;valor_mercado
POSI3;4,71;5,81;228,41;0,42;0,18;0,07;7,77;25,14;7,07;0,09;2,03;11,34;0,02;3.953.944,59;667.878.000,00
POWE3;10,90;;23,92;0,99;4,13;1,58;3,81;6,82;3,52;2,59;1,13;11,02;0,46;;977.237.930,40
PPAR3;14,60;16,25;1,32;0,04;3,07;2,22;1,9;;;;77,22;359,85;11,03;;2.160.800,00
PPAR4;0,00;;0,0;0,0;3,07;2,22;1,9;;;;77,22;359,85;11,03;;2.160.800,00
PPLA11;1,06;;0,5;331,51;;;;;;;1,0;0,0;2,13;271,23;2.983.545,96
PRIO3;42,61;;3,37;1,44;42,58;20,68;0,78;43,99;40,3;72,61;3,19;29,68;12,64;357.538.052,95;38.193.310.431,53
PRNR3;15,46;0,33;69,57;2,1;3,02;0,73;8,28;22,09;7,78;0,83;1,96;7,36;0,22;3.590.140,55;722.302.903,22
PSSA3;56,72;4,15;12,98;2,65;20,39;5,71;13,61;100,0;8,76;7,79;1,13;21,43;4,37;88.424.411,95;36.674.361.323,20
PTBL3;4,59;;-5,67;2,05;-36,12;-3,16;5,69;36,12;4,76;-4,61;0,87;2,24;-0,81;1.556.529,23;647.129.806,74
PTCA11;0,00;;0,0;0,0;29,27;10,95;15,77;48,98;12,2;9,03;1,94;31,49;9,22;;0,00
PTCA3;0,00;;0,0;0,0;29,27;10,95;15,77;48,98;12,2;9,03;1,94;31,49;9,22;;0,00
PTNT3;8,91;3,04;11,1;0,97;8,77;3,63;5,75;14,84;6,42;4,69;2,56;9,15;0,8;3.746,80;304.780.386,68
PTNT4;5,06;5,35;6,31;0,55;8,77;3,63;5,75;14,84;6,42;4,69;2,56;9,15;0,8;76.013,95;304.780.386,68
QUAL3;1,87;0,3;140,99;0,41;0,29;0,09;4,72;84,39;11,21;0,24;1,08;4,57;0,01;3.155.537,82;531.106.787,75
QUSW3;0,00;;0,0;0,0;22,61;8,75;16,35;94,75;47,06;36,45;1,14;126,07;28,5;;0,00
QVQP3B;0,00;;0,0;0,0;-109,4;-109,4;-119,66;;;;;0,0;0,0;;0,00
RADL3;15,35;2,65;22,42;4,07;18,13;5,2;22,21;29,58;5,79;2,95;1,34;3,78;0,68;154.518.932,05;26.371.410.520,00
RAIL3;18,69;4,34;-24,28;2,37;-9,78;-2,78;3,66;46,27;15,38;-10,38;1,9;7,87;-0,77;182.516.392,82;34.667.500.656,81
RAIZ4;1,71;0,59;-4,16;0,97;-23,42;-3,02;3,79;4,64;1,69;-1,67;1,33;1,76;-0,41;21.445.384,36;17.702.791.217,64
RANI3;7,58;8,74;5,64;1,29;22,84;8,76;7,67;38,59;20,41;19,35;3,51;5,89;1,35;4.280.464,14;1.817.910.786,02
RANI4;5,50;;4,09;0,93;22,84;8,76;7,67;38,59;20,41;19,35;3,51;5,89;1,35;;1.817.910.786,02
RAPT3;8,27;4,96;8,54;0,88;10,27;1,76;7,54;26,63;9,86;2,54;2,06;9,43;0,97;217.680,50;2.836.355.461,09
RAPT4;8,80;4,66;9,08;0,93;10,27;1,76;7,54;26,63;9,86;2,54;2,06;9,43;0,97;25.901.414,73;2.836.355.461,09
RCSL3;2,28;;-3,82;-3,74;-98,08;-40,75;79,52;5,25;-141,33;-174,33;0,68;-0,61;-0,6;545.164,55;44.202.550,20
RCSL4;0,94;;-1,57;-1,54;-98,08;-40,75;79,52;5,25;-141,33;-174,33;0,68;-0,61;-0,6;2.118.089,09;44.202.550,20
RDNI3;2,37;;-0,75;0,47;-62,76;-10,38;-11,14;15,6;-15,36;-28,54;1,79;5,04;-3,16;10.960,14;103.734.444,96
RDOR3;34,75;2,13;19,48;3,18;16,33;3,91;10,55;19,38;15,5;7,95;2,87;10,92;1,78;176.094.044,95;79.552.917.502,50
REAG3;3,80;;40,27;1,82;4,53;4,25;-9,87;83,42;-44,59;21,86;16,47;2,08;0,09;43.225,86;535.768.862,80
RECV3;14,69;14,93;7,77;0,97;12,43;7,44;15,78;36,76;29,83;16,42;2,47;15,21;1,89;35.545.257,50;4.311.105.530,94
REDE3;6,70;2,66;10,65;3,4;31,93;4,41;13,71;25,13;17,87;7,35;1,38;1,97;0,63;6.808,55;14.139.166.605,80
RENT3;39,15;4,51;22,04;1,6;7,28;2,38;8,59;23,5;15,54;4,97;1,43;24,42;1,78;354.324.461,82;42.384.601.188,00
RLOG3;23,08;;82,76;4,26;5,15;0,28;5,46;34,71;29,67;1,85;2,64;5,41;0,28;;10.691.215.482,28
RNEW11;2,94;;-3,24;0,48;-14,86;-3,57;1,99;-2,79;13,16;-37,47;0,72;6,11;-0,91;20.369,50;364.740.231,80
RNEW3;0,96;;-3,17;0,47;-14,86;-3,57;1,99;-2,79;13,16;-37,47;0,72;2,04;-0,3;78.988,68;364.740.231,80
RNEW4;0,95;;-3,14;0,47;-14,86;-3,57;1,99;-2,79;13,16;-37,47;0,72;2,04;-0,3;131.508,14;364.740.231,80
ROMI3;8,91;9,2;7,83;0,68;8,7;4,27;4,76;28,12;7,85;8,25;2,12;13,07;1,14;956.018,32;830.151.355,77
RPAD3;4,16;1,93;-4,35;0,34;-7,82;-7,75;-10,01;;;;16,74;12,22;-0,96;827,50;467.903.443,67
RPAD5;7,15;7,53;-7,48;0,59;-7,82;-7,75;-10,01;;;;16,74;12,22;-0,96;2.186,25;467.903.443,67
RPAD6;4,04;;-4,23;0,33;-7,82;-7,75;-10,01;;;;16,74;12,22;-0,96;2.017,40;467.903.443,67
RPMG3;2,96;;-0,15;-0,03;-19,39;-14,77;23,01;-13,74;-20,96;-17,66;0,78;-102,21;-19,82;14.468,14;200.367.221,84
RSID3;2,06;;0,15;-0,04;-28,42;54,91;100,59;28,74;-311,91;327,6;0,45;-48,6;13,81;36.367,55;41.200.000,00
RSUL3;0,00;;0,0;0,0;23,36;14,07;21,54;41,05;21,75;15,11;2,65;41,32;9,66;;173.967.087,00
RSUL4;69,72;;7,22;1,69;23,36;14,07;21,54;41,05;21,75;15,11;2,65;41,32;9,66;60.096,05;173.967.087,00
SANB11;29,25;5,5;8,14;0,91;11,14;1,08;;40,55;13,53;9,4;;32,24;3,59;75.856.481,36;109.666.016.620,88
SANB3;13,92;5,51;7,75;0,86;11,14;1,08;;40,55;13,53;9,4;;16,12;1,8;997.694,82;109.666.016.620,88
SANB4;15,37;5,48;8,56;0,95;11,14;1,08;;40,55;13,53;9,4;;16,12;1,8;988.238,18;109.666.016.620,88
SAPR11;37,64;5,87;7,6;1,12;14,71;7,59;10,96;58,29;34,9;22,12;1,71;33,68;4,95;51.067.945,45;11.376.355.147,03
SAPR3;7,93;5,16;8,0;1,18;14,71;7,59;10,96;58,29;34,9;22,12;1,71;6,74;0,99;1.703.594,00;11.376.355.147,03
SAPR4;7,41;6,07;7,48;1,1;14,71;7,59;10,96;58,29;34,9;22,12;1,71;6,74;0,99;9.674.540,00;11.376.355.147,03
SBFG3;12,65;4,33;5,46;1,06;19,46;6,7;10,87;49,3;8,35;7,85;1,49;11,91;2,32;14.722.583,36;3.086.764.197,00
SBSP3;117,90;3,16;7,87;2,1;26,66;11,95;18,72;53,87;43,91;26,93;1,09;56,18;14,98;248.197.680,64;80.585.813.555,10
SCAR3;17,14;10,18;-34,35;0,65;-1,88;-1,05;2,73;40,6;20,99;-6,27;3,95;26,57;-0,5;327.351,41;989.617.647,66
SEDU3;23,80;;-13,36;15,0;-112,29;-11,46;-13,15;48,36;-15,73;-25,77;1,09;1,59;-1,78;;6.238.667.820,00
SEER3;9,42;1,64;20,21;0,97;4,79;1,76;12,82;57,02;14,47;2,9;1,26;9,73;0,47;6.569.532,73;1.212.557.095,20
SEQL3;1,13;;-0,05;-0,06;-118,36;-88,81;;-3,27;-140,15;-142,29;0,24;-18,38;-21,75;1.066.607,91;56.852.080,88
SGPS3;1,64;;-0,02;-0,02;-133,99;-47,66;-117,71;-2,19;-81,65;-176,79;0,25;-72,45;-97,07;0,00;16.400.000,00
SHOW3;6,74;;-0,58;0,35;-60,68;-19,53;-20,19;16,82;-21,12;-50,66;1,37;19,07;-11,57;138.352,59;45.436.105,88
SHUL3;27,31;0,84;36,63;6,65;18,15;9,52;11,42;26,23;14,79;13,43;3,1;4,11;0,75;0,00;5.250.760.429,32
SHUL4;5,28;7,28;7,08;1,29;18,15;9,52;11,42;26,23;14,79;13,43;3,1;4,11;0,75;1.688.010,50;5.250.760.429,32
SIMH3;4,81;1,46;-17,79;1,49;-8,36;-0,28;10,21;25,58;16,3;-0,56;1,45;3,23;-0,27;27.553.896,32;4.199.324.963,73
SLCE3;18,14;3,01;9,71;1,64;16,86;4,74;14,93;31,67;21,76;9,58;1,44;11,08;1,87;32.973.578,91;8.042.001.048,24
SLED3;3,21;;0,45;-0,08;-18,07;107,04;-15,91;47,85;73,94;92,71;0,12;-39,57;7,15;;16.497.692,59
SLED4;1,60;;0,22;-0,04;-18,07;107,04;-15,91;47,85;73,94;92,71;0,12;-39,57;7,15;;16.497.692,59
SMFT3;23,50;2,45;30,27;2,54;8,39;2,54;11,3;41,79;22,78;7,73;1,53;9,25;0,78;85.984.544,91;14.035.376.245,50
SMLS3;22,40;;10,78;4,09;37,96;9,43;24,47;85,18;41,42;39,07;1,1;5,47;2,08;;2.781.160.547,20
SMTO3;17,85;5,05;10,66;0,89;8,31;2,56;8,31;24,93;21,19;7,77;2,43;20,15;1,67;29.655.189,05;5.933.971.729,35
SNSY3;11,40;;-2,12;-0,04;-2,05;-7,18;-15,64;24,78;29,5;-4,31;0,84;-262,5;-5,38;9.197,25;48.308.476,80
SNSY5;3,56;;-0,66;-0,01;-2,05;-7,18;-15,64;24,78;29,5;-4,31;0,84;-262,5;-5,38;21.641,60;48.308.476,80
SNSY6;11,51;;-2,14;-0,04;-2,05;-7,18;-15,64;24,78;29,5;-4,31;0,84;-262,5;-5,38;0,00;48.308.476,80
SOJA3;11,57;2,57;15,65;1,16;7,42;2,88;5,16;12,79;8,38;5,26;3,46;9,96;0,74;3.625.178,64;1.565.677.206,08
SOMA3;5,95;;2,96;0,8;27,15;16,44;-46,41;56,8;-46,46;29,33;2,36;7,4;2,01;99.716.529,00;4.669.246.869,35
SOND3;47,00;;4,85;1,61;33,27;20,3;27,61;30,11;15,95;11,54;2,07;29,13;9,69;0,00;100.863.915,00
SOND5;44,00;;4,54;1,51;33,27;20,3;27,61;30,11;15,95;11,54;2,07;29,13;9,69;4.133,33;100.863.915,00
SOND6;37,85;;3,9;1,3;33,27;20,3;27,61;30,11;15,95;11,54;2,07;29,13;9,69;9.052,00;100.863.915,00
SPRT3B;76,40;;;;-723,82;-547,71;721,68;;;;0,57;0,0;-0,03;;370.531.748,80
SQIA3;27,37;;-110,33;3,7;-3,35;-1,35;3,18;42,19;6,45;-3,26;1,43;7,4;-0,25;;2.406.971.773,64
SRNA3;11,66;;;1,33;0,11;0,03;6,1;30,32;25,59;0,13;1,16;8,74;0,01;67.624.051,27;7.261.038.282,96
STBP3;13,76;5,46;15,0;19,57;130,43;14,96;32,2;56,09;43,8;25,23;1,01;0,7;0,92;39.404.112,05;11.890.984.277,44
STKF3;0,00;;0,0;0,0;4,97;3,15;5,31;54,65;36,95;23,68;3,14;8,19;0,41;;0,00
STTR3;0,00;;0,0;0,0;32,1;17,86;25,38;31,37;17,25;14,11;2,46;2,91;0,94;;0,00
SULA11;22,25;;52,23;1,13;2,17;0,6;-8,72;4,25;-3,34;0,83;2,29;19,64;0,43;313.020.093,00;9.475.042.424,17
SULA3;7,43;;52,32;1,13;2,17;0,6;-8,72;4,25;-3,34;0,83;2,29;6,55;0,14;;9.475.042.424,17
SULA4;7,63;;53,73;1,17;2,17;0,6;-8,72;4,25;-3,34;0,83;2,29;6,55;0,14;;9.475.042.424,17
SUZB3;51,98;3,88;-68,92;1,71;-2,48;-0,61;10,53;40,54;31,11;-1,93;2,61;30,38;-0,75;290.046.642,77;65.708.833.627,70
SYNE3;6,08;54,95;1,66;0,85;51,13;17,62;24,74;41,41;62,11;42,0;5,43;7,15;3,66;2.474.953,64;928.078.225,60
TAEE11;35,03;7,82;7,16;1,65;23,09;8,01;15,53;63,45;73,56;42,45;1,85;21,18;4,89;45.196.479,36;12.067.796.712,21
TAEE3;11,62;7,86;7,13;1,65;23,09;8,01;15,53;63,45;73,56;42,45;1,85;7,06;1,63;548.106,50;12.067.796.712,21
TAEE4;11,75;7,77;7,21;1,66;23,09;8,01;15,53;63,45;73,56;42,45;1,85;7,06;1,63;1.082.269,77;12.067.796.712,21
TASA3;7,35;2,76;13,42;0,81;6,01;3,01;6,87;34,96;9,47;4,85;1,7;9,1;0,55;52.874,00;987.674.102,83
TASA4;6,94;2,92;12,67;0,76;6,01;3,01;6,87;34,96;9,47;4,85;1,7;9,1;0,55;1.418.433,55;987.674.102,83
TCNO3;1,20;;-7,52;-8,4;-111,63;-0,45;-3,55;;;;0,28;-0,14;-0,16;;6.451.072,50
TCNO4;0,85;;-5,33;-5,95;-111,63;-0,45;-3,55;;;;0,28;-0,14;-0,16;;6.451.072,50
TCSA3;1,59;;-0,86;0,31;-35,79;-10,8;-10,72;-8,15;-21,52;-31,51;1,08;5,14;-1,84;308.622,86;117.054.575,70
TECN3;6,59;3,62;6,42;1,0;15,53;9,25;10,5;54,67;16,13;15,17;3,2;6,6;1,03;612.974,32;407.632.456,85
TEKA3;42,50;;-0,13;-0,01;-7,76;-13,93;0,93;24,58;-4,48;-52,8;0,05;;-339,62;0,00;14.260.237,50
TEKA4;21,25;;-0,06;0,0;-7,76;-13,93;0,93;24,58;-4,48;-52,8;0,05;;-339,62;0,00;14.260.237,50
TELB3;12,80;;-4,99;0,98;-19,59;-6,06;-12,12;-58,26;-39,9;-61,12;4,92;13,09;-2,56;14.608,53;1.114.662.219,37
TELB4;8,27;;-3,23;0,63;-19,59;-6,06;-12,12;-58,26;-39,9;-61,12;4,92;13,09;-2,56;36.905,68;1.114.662.219,37
TEND3;24,28;0,7;15,87;2,75;17,3;3,65;14,62;28,78;10,02;5,51;1,77;8,84;1,53;39.875.422,18;2.976.197.530,56
TESA3;48,00;;-13,3;1,62;-12,18;-3,94;3,93;15,86;9,39;-7,58;0,86;29,64;-3,61;;1.389.696.672,00
TFCO4;15,08;1,22;112,69;29,37;26,06;15,21;23,3;57,23;20,42;14,3;2,72;0,51;0,13;4.603.707,23;2.310.527.462,62
TGMA3;36,72;7,03;8,77;2,51;28,62;20,47;23,01;21,57;17,64;12,9;3,2;14,62;4,19;9.029.307,32;2.423.627.038,80
TIET11;12,54;;-17,06;0,95;-5,57;-1,4;4,63;0,0;21,64;-7,77;0,84;13,19;-0,73;;5.004.795.800,93
TIET3;3,49;;-23,75;1,32;-5,57;-1,4;4,63;0,0;21,64;-7,77;0,84;2,64;-0,15;;5.004.795.800,93
TIET4;3,51;;-23,88;1,33;-5,57;-1,4;4,63;0,0;21,64;-7,77;0,84;2,64;-0,15;;5.004.795.800,93
TIMS3;22,62;7,29;36,51;3,92;10,73;2,64;23,99;53,3;22,08;5,83;0,92;5,77;0,62;127.734.796,59;54.758.595.482,76
TKNO3;99,98;4,07;6,14;0,91;14,79;11,71;12,14;26,46;17,21;16,12;3,45;110,12;16,28;0,00;270.256.495,98
TKNO4;82,00;8,59;5,04;0,74;14,79;11,71;12,14;26,46;17,21;16,12;3,45;110,12;16,28;14.502,50;270.256.495,98
TOKY3;0,88;;-0,84;332,59;;;;46,2;-14,52;-19,19;1,12;0,0;-1,04;195.494,82;108.031.794,64
TOTS3;43,30;1,71;33,04;5,41;16,37;9,04;12,91;69,74;17,31;14,44;2,52;8,01;1,31;97.458.016,32;25.954.088.457,30
TOYB3;2,29;;-43,94;0,03;-0,07;0,0;;24,06;-10,7;-10,96;;76,91;-0,05;;71.890.222,22
TOYB4;2,50;;-47,96;0,03;-0,07;0,0;;24,06;-10,7;-10,96;;76,91;-0,05;;71.890.222,22
TPIS3;4,07;5,66;8,87;0,2;2,21;0,74;-2,48;35,31;1,93;1,55;0,13;20,74;0,46;28.606,45;179.080.000,00
TRAD3;6,59;;-3,07;1,41;-45,9;-41,97;-46,81;29,79;-208,33;-206,52;4,05;4,67;-2,14;208.858,82;263.738.515,21
TRIS3;6,98;4,31;7,14;0,87;12,16;5,85;6,94;29,53;15,35;13,86;3,57;8,04;0,98;3.044.308,86;1.302.590.415,24
TTEN3;15,32;1,24;9,64;1,84;19,11;8,07;14,38;18,63;8,77;5,82;1,45;8,31;1,59;28.354.079,18;7.652.303.952,04
TUPY3;18,07;7,7;-60,91;0,79;-1,29;-0,4;4,08;17,47;4,55;-0,41;2,33;22,99;-0,3;6.428.378,00;2.605.287.425,00
TXRX3;9,98;;-0,97;-0,12;-12,15;-25,96;-7,82;19,79;2,57;-37,23;0,27;-84,66;-10,29;899,33;19.301.450,54
TXRX4;1,70;;-0,17;-0,02;-12,15;-25,96;-7,82;19,79;2,57;-37,23;0,27;-84,66;-10,29;991,60;19.301.450,54
UCAS3;1,45;12,52;22,7;0,51;2,26;1,08;-3,39;35,73;-2,08;1,9;1,3;2,82;0,06;35.682,32;95.825.227,80
UGPA3;18,08;3,87;8,91;1,33;14,9;6,0;10,55;7,16;3,51;1,66;1,76;13,62;2,03;71.411.373,68;20.168.369.850,56
UNIP3;54,15;8,46;9,41;2,31;24,57;8,94;10,37;27,93;13,55;11,55;2,24;23,41;5,75;146.209,77;6.547.072.908,05
UNIP5;60,95;4,49;10,6;2,6;24,57;8,94;10,37;27,93;13,55;11,55;2,24;23,41;5,75;13.887,80;6.547.072.908,05
UNIP6;59,80;8,42;10,4;2,55;24,57;8,94;10,37;27,93;13,55;11,55;2,24;23,41;5,75;6.599.553,82;6.547.072.908,05
USIM3;4,45;;39,68;0,23;0,58;0,34;2,08;7,67;3,04;0,53;4,26;19,29;0,11;2.073.096,64;5.587.158.399,08
USIM5;4,47;;39,86;0,23;0,58;0,34;2,08;7,67;3,04;0,53;4,26;19,29;0,11;60.122.636,77;5.587.158.399,08
USIM6;8,00;;71,34;0,41;0,58;0,34;2,08;7,67;3,04;0,53;4,26;19,29;0,11;800,00;5.587.158.399,08
VALE3;55,12;8,63;7,95;1,24;15,57;6,57;15,96;35,45;25,35;14,88;1,11;44,52;6,93;972.559.852,41;250.190.097.809,60
VAMO3;3,98;6,74;14,07;1,73;12,29;1,36;12,55;68,12;59,59;7,1;1,86;2,3;0,28;66.783.667,18;4.302.509.497,26
VBBR3;22,50;5,85;4,07;1,22;30,13;9,95;14,25;4,77;4,93;3,49;1,94;18,37;5,53;183.316.248,05;25.177.500.000,00
VITT3;4,95;3,81;10,22;1,18;11,59;7,39;7,73;32,86;10,85;9,07;2,67;4,18;0,48;1.053.465,86;744.054.389,10
VIVA3;27,23;2,42;8,78;2,46;28,05;17,33;21,78;70,11;27,44;27,44;3,54;11,06;3,1;63.408.270,64;6.431.665.249,87
VIVR3;0,88;;-0,76;0,23;-30,01;-15,91;-23,84;29,89;-34,81;-39,35;1,71;3,85;-1,16;16.836,05;33.762.152,16
VIVT3;32,50;3,37;18,56;1,56;8,39;4,51;8,47;43,78;15,43;10,07;0,96;20,87;1,75;165.559.116,05;105.991.840.240,00
VIVT4;45,34;;25,89;2,17;8,39;4,51;8,47;43,78;15,43;10,07;0,96;20,87;1,75;;105.991.840.240,00
VLID3;25,09;10,78;6,7;1,17;17,51;10,39;14,46;35,02;17,65;14,01;2,83;21,39;3,74;5.629.032,05;2.053.274.648,75
VSPT3;5,00;;-1,28;0,44;-34,74;-11,66;-20,67;21,1;-8,21;-14,35;1,85;11,27;-3,91;0,00;714.038.920,00
VSPT4;0,00;;0,0;0,0;-34,74;-11,66;-20,67;21,1;-8,21;-14,35;1,85;11,27;-3,91;;714.038.920,00
VSTE3;6,07;;-74,04;0,67;-0,91;-0,57;3,28;63,27;3,98;-0,83;1,41;9,0;-0,08;181.387,64;694.006.427,01
VTRU3;9,17;0,26;;;;;;;;;;;0,0;3.353.504,36;347.415.142,69
VULC3;21,79;6,88;10,23;2,72;26,62;20,02;22,85;41,88;18,82;18,63;3,74;8,01;2,13;9.494.664,41;6.003.934.756,76
VVEO3;1,18;;-0,26;0,2;-79,07;-15,77;-17,04;11,32;-7,54;-12,95;1,85;5,79;-4,58;873.317,23;380.928.317,44
WEGE3;43,00;1,89;28,83;8,48;29,42;15,92;25,11;33,62;20,06;15,64;1,71;5,07;1,49;261.242.571,14;180.484.673.914,00
WEST3;3,67;;-1,02;0,18;-17,29;-12,68;-23,2;39,1;-29,99;-21,92;2,94;20,89;-3,61;17.147,64;40.771.307,16
WHRL3;4,43;16,21;7,44;2,43;32,67;8,9;20,6;18,11;7,43;6,8;1,07;1,82;0,6;29.397,55;6.737.936.475,96
WHRL4;4,60;17,17;7,72;2,52;32,67;8,9;20,6;18,11;7,43;6,8;1,07;1,82;0,6;102.842,95;6.737.936.475,96
WIZC3;7,78;3,22;7,35;2,1;28,54;6,62;24,92;62,29;44,13;12,96;1,04;3,71;1,06;2.751.045,00;1.244.078.653,96
WLMM3;24,00;2,5;7,01;1,1;15,69;8,74;12,27;12,41;6,73;4,08;2,36;21,82;3,42;9.996,67;883.873.805,00
WLMM4;24,50;2,69;7,15;1,12;15,69;8,74;12,27;12,41;6,73;4,08;2,36;21,82;3,42;38.005,57;883.873.805,00
YDUQ3;16,26;3,51;13,95;1,44;10,29;3,25;10,24;60,89;17,03;5,94;1,36;11,32;1,17;49.139.047,68;4.456.684.717,26
ZAMP3;3,40;;-9,6;0,91;-9,48;-3,31;-1,5;64,73;-0,03;-3,07;1,14;3,73;-0,35;1.920.536,14;1.383.576.943,00
